z,x,y,chunk,stem,class
696,5952.0,4800.0,z0672-0720,012015,boundary-network
552,5952.0,4800.0,z0528-0576,012015,boundary-network
744,5568.0,4800.0,z0720-0768,012014,boundary-network
744,5952.0,4800.0,z0720-0768,012015,boundary-network
600,6336.0,4800.0,z0576-0624,012016,boundary-network
648,7488.0,5952.0,z0624-0672,015019,boundary-network
696,4800.0,5952.0,z0672-0720,015012,boundary-network
744,5568.0,4416.0,z0720-0768,011014,boundary-network
696,7872.0,4800.0,z0672-0720,012020,boundary-network
696,8256.0,6336.0,z0672-0720,016021,boundary-network
648,5952.0,4416.0,z0624-0672,011015,boundary-network
648,6336.0,4800.0,z0624-0672,012016,boundary-network
600,7872.0,6336.0,z0576-0624,016020,boundary-network
600,5952.0,4416.0,z0576-0624,011015,boundary-network
744,8256.0,6336.0,z0720-0768,016021,boundary-network
600,5952.0,4032.0,z0576-0624,010015,boundary-network
72,8256.0,4032.0,z0048-0096,010021,boundary-network
648,5952.0,4032.0,z0624-0672,010015,boundary-network
24,7872.0,5952.0,z0000-0048,015020,boundary-network
216,9408.0,2496.0,z0192-0240,006024,boundary-network
216,4416.0,5952.0,z0192-0240,015011,boundary-network
504,5952.0,4416.0,z0480-0528,011015,boundary-network
504,7872.0,6336.0,z0480-0528,016020,boundary-network
552,7872.0,6336.0,z0528-0576,016020,boundary-network
72,5952.0,5952.0,z0048-0096,015015,boundary-network
264,5184.0,1344.0,z0240-0288,003013,dark-laminar
792,7488.0,6720.0,z0768-0816,017019,dark-laminar
792,2496.0,6720.0,z0768-0816,017006,dark-laminar
792,1728.0,6720.0,z0768-0816,017004,dark-laminar
792,2112.0,6720.0,z0768-0816,017005,dark-laminar
744,4416.0,4032.0,z0720-0768,010011,dark-laminar
696,2880.0,1344.0,z0672-0720,003007,dark-laminar
72,8640.0,6720.0,z0048-0096,017022,dark-laminar
24,4416.0,4032.0,z0000-0048,010011,dark-laminar
552,1344.0,5184.0,z0528-0576,013003,dark-laminar
408,3264.0,3648.0,z0384-0432,009008,dark-laminar
552,2880.0,960.0,z0528-0576,002007,dark-laminar
216,11712.0,2496.0,z0192-0240,006030,dark-laminar
